search_term,match_rank,loinc,loinc_url,status,long_common_name,short_name,class_type,component,property,time_aspect,system,scale_type,method_type,example_units,class
Epithelial Cells,1,105089-7,https://loinc.org/105089-7,ACTIVE,Epithelial cells.non-squamous [Presence] in Urine,Non-sq Epi Cells Ur Ql,1,Epithelial cells.non-squamous,PrThr,Pt,Urine,Ord,,,UA
Epithelial Cells,2,105115-0,https://loinc.org/105115-0,ACTIVE,Epithelial cells.non-squamous [#/area] in Urine sediment,Non-sq Epi Cells #/area UrnS,1,Epithelial cells.non-squamous,Naric,Pt,Urine sed,Qn,,/[HPF],UA
Epithelial Cells,3,105088-9,https://loinc.org/105088-9,ACTIVE,Epithelial cells.non-squamous [Presence] in Urine sediment,Non-sq Epi Cells UrnS Ql,1,Epithelial cells.non-squamous,PrThr,Pt,Urine sed,Ord,,,UA
Epithelial Cells,4,50225-2,https://loinc.org/50225-2,ACTIVE,Epithelial cells.non-squamous [Presence] in Urine by Automated,Non-sq Epi Cells Ur Ql Auto,1,Epithelial cells.non-squamous,PrThr,Pt,Urine,Ord,Automated,,UA
Epithelial Cells,5,32822-9,https://loinc.org/32822-9,ACTIVE,Epithelial cells.squamous/cells in Bronchial specimen by Light microscopy,Squamous NFr Bronch Micro,1,Epithelial cells.squamous/Cells,NFr,Pt,Bronchial,Qn,Microscopy.light,%,HEM/BC
Epithelial Cells,6,105087-1,https://loinc.org/105087-1,ACTIVE,Epithelial cells.squamous [Presence] in Urine,Squamous Ur Ql,1,Epithelial cells.squamous,PrThr,Pt,Urine,Ord,,,UA
Epithelial Cells,7,105117-6,https://loinc.org/105117-6,ACTIVE,Epithelial cells.squamous [#/area] in Urine sediment,Squamous #/area UrnS,1,Epithelial cells.squamous,Naric,Pt,Urine sed,Qn,,/[HPF],UA
Epithelial Cells,8,105120-0,https://loinc.org/105120-0,ACTIVE,Epithelial cells.squamous [Presence] in Urine sediment,Squamous UrnS Ql,1,Epithelial cells.squamous,PrThr,Pt,Urine sed,Ord,,,UA
Epithelial Cells,9,53294-5,https://loinc.org/53294-5,ACTIVE,Epithelial cells.non-squamous [#/area] in Urine sediment by Automated count,Non-sq Epi Cells #/area UrnS Auto,1,Epithelial cells.non-squamous,Naric,Pt,Urine sed,Qn,Automated count,,UA
Epithelial Cells,10,41284-1,https://loinc.org/41284-1,ACTIVE,Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field,Non-sq Epi Cells #/area UrnS HPF,1,Epithelial cells.non-squamous,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,/HPF,UA
Epithelial Cells,11,53132-7,https://loinc.org/53132-7,ACTIVE,Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy low power field,Non-sq Epi Cells #/area UrnS LPF,1,Epithelial cells.non-squamous,Naric,Pt,Urine sed,Qn,Microscopy.light.LPF,/LPF,UA
Epithelial Cells,12,51485-1,https://loinc.org/51485-1,ACTIVE,Epithelial cells.non-squamous [#/volume] in Urine by Automated count,Non-sq Epi Cells # Ur Auto,1,Epithelial cells.non-squamous,NCnc,Pt,Urine,Qn,Automated count,/uL,UA
Epithelial Cells,13,53978-3,https://loinc.org/53978-3,ACTIVE,Epithelial cells.non-squamous [Presence] in Urine sediment by Light microscopy,Non-sq Epi Cells UrnS Ql Micro,1,Epithelial cells.non-squamous,PrThr,Pt,Urine sed,Ord,Microscopy.light,,UA
Epithelial Cells,14,87830-6,https://loinc.org/87830-6,ACTIVE,Epithelial cells [Presence] in Urine,Epi Cells Ur Ql,1,Epithelial cells,PrThr,Pt,Urine,Ord,,,UA
Epithelial Cells,15,63487-3,https://loinc.org/63487-3,ACTIVE,Epithelial cells.squamous [Presence] in Bronchoalveolar lavage,Squamous BAL Ql,1,Epithelial cells.squamous,PrThr,Pt,BAL,Ord,,,HEM/BC
Epithelial Cells,16,53318-2,https://loinc.org/53318-2,ACTIVE,Epithelial cells.squamous [Presence] in Urine by Automated,Squamous Ur Ql Auto,1,Epithelial cells.squamous,PrThr,Pt,Urine,Ord,Automated,,UA
Epithelial Cells,17,104650-7,https://loinc.org/104650-7,ACTIVE,Epithelial cells.squamous [#/area] in Urine by Computer assisted method,Squamous #/area Ur Comp Assist,1,Epithelial cells.squamous,Naric,Pt,Urine,Qn,Computer assisted,/HPF,UA
Epithelial Cells,18,105113-5,https://loinc.org/105113-5,ACTIVE,Epithelial cells [#/area] in Urine sediment,Epi Cells #/area UrnS,1,Epithelial cells,Naric,Pt,Urine sed,Qn,,/[LPF],UA
Epithelial Cells,19,105114-3,https://loinc.org/105114-3,ACTIVE,Epithelial cells [Presence] in Urine sediment,Epi Cells UrnS Ql,1,Epithelial cells,PrThr,Pt,Urine sed,Ord,,,UA
Epithelial Cells,21,33219-7,https://loinc.org/33219-7,ACTIVE,Epithelial cells.squamous [#/area] in Urine sediment by Automated count,Squamous #/area UrnS Auto,1,Epithelial cells.squamous,Naric,Pt,Urine sed,Qn,Automated count,/HPF,UA
Epithelial Cells,22,11277-1,https://loinc.org/11277-1,ACTIVE,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,Squamous #/area UrnS HPF,1,Epithelial cells.squamous,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,/HPF,UA
Epithelial Cells,23,45390-2,https://loinc.org/45390-2,ACTIVE,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy low power field,Squamous #/area UrnS LPF,1,Epithelial cells.squamous,Naric,Pt,Urine sed,Qn,Microscopy.light.LPF,/LPF,UA
Epithelial Cells,24,44094-1,https://loinc.org/44094-1,ACTIVE,Epithelial cells.squamous [#/area] in Vaginal fluid by Light microscopy,Squamous Vag Micro-#/area,1,Epithelial cells.squamous,Naric,Pt,Vag,Qn,Microscopy.light,,MICRO
Epithelial Cells,25,51486-9,https://loinc.org/51486-9,ACTIVE,Epithelial cells.squamous [#/volume] in Urine by Automated count,Squamous # Ur Auto,1,Epithelial cells.squamous,NCnc,Pt,Urine,Qn,Automated count,/uL,UA
Epithelial Cells,26,13654-9,https://loinc.org/13654-9,ACTIVE,Epithelial cells.squamous [#/volume] in Urine sediment,Squamous # UrnS,1,Epithelial cells.squamous,NCnc,Pt,Urine sed,Qn,,/mL,UA
Epithelial Cells,27,70122-7,https://loinc.org/70122-7,ACTIVE,Epithelial cells.squamous [Presence] in Body fluid,Squamous Fld Ql,1,Epithelial cells.squamous,PrThr,Pt,Body fld,Ord,,,HEM/BC
Epithelial Cells,28,14327-1,https://loinc.org/14327-1,ACTIVE,Epithelial cells.squamous [Presence] in Sputum by Light microscopy,Squamous Spt Ql Micro,1,Epithelial cells.squamous,PrThr,Pt,Sputum,Ord,Microscopy.light,,HEM/BC
Epithelial Cells,29,12258-0,https://loinc.org/12258-0,ACTIVE,Epithelial cells.squamous [Presence] in Urine sediment by Light microscopy,Squamous UrnS Ql Micro,1,Epithelial cells.squamous,PrThr,Pt,Urine sed,Ord,Microscopy.light,,UA
Epithelial Cells,30,30383-4,https://loinc.org/30383-4,ACTIVE,Epithelial cells [#/volume] in Urine,Epi Cells # Ur,1,Epithelial cells,NCnc,Pt,Urine,Qn,,/uL,UA
Epithelial Cells,31,35652-7,https://loinc.org/35652-7,ACTIVE,Epithelial cells/cells in Body fluid,Epi Cells NFr Fld,1,Epithelial cells/Cells,NFr,Pt,Body fld,Qn,,%,HEM/BC
Epithelial Cells,32,96714-1,https://loinc.org/96714-1,ACTIVE,Epithelial cells.squamous [#/volume] in Bronchial specimen by Manual count,Squamous # Bronch Manual,1,Epithelial cells.squamous,NCnc,Pt,Bronchial,Qn,Manual count,/uL,HEM/BC
Epithelial Cells,33,95844-7,https://loinc.org/95844-7,ACTIVE,Epithelial cells.squamous [#/volume] in Sputum by Manual count,Squamous # Spt Manual,1,Epithelial cells.squamous,NCnc,Pt,Sputum,Qn,Manual count,/uL,HEM/BC
Epithelial Cells,34,105116-8,https://loinc.org/105116-8,ACTIVE,Epithelial cells.renal [#/area] in Urine sediment,Renal Epi Cells #/area UrnS,1,Epithelial cells.renal,Naric,Pt,Urine sed,Qn,,/[HPF],UA
Epithelial Cells,35,53541-9,https://loinc.org/53541-9,ACTIVE,Epithelial cells [Presence] in Blood by Light microscopy,Epi Cells Bld Ql Smear,1,Epithelial cells,PrThr,Pt,Bld,Ord,Microscopy.light,,HEM/BC
Epithelial Cells,36,16822-9,https://loinc.org/16822-9,ACTIVE,Epithelial cells [Presence] in Nose by Light microscopy,Epi Cells Nose Ql Micro,1,Epithelial cells,PrThr,Pt,Nose,Ord,Microscopy.light,,HEM/BC
Epithelial Cells,37,12452-9,https://loinc.org/12452-9,ACTIVE,Epithelial cells [Presence] in Semen by Light microscopy,Epi Cells Smn Ql Micro,1,Epithelial cells,PrThr,Pt,Semen,Ord,Microscopy.light,,FERT
Epithelial Cells,38,20453-7,https://loinc.org/20453-7,ACTIVE,Epithelial cells [Presence] in Urine sediment by Light microscopy,Epi Cells UrnS Ql Micro,1,Epithelial cells,PrThr,Pt,Urine sed,Ord,Microscopy.light,,UA
Epithelial Cells,39,74354-2,https://loinc.org/74354-2,ACTIVE,Epithelial cells/Leukocytes in Sputum,Epi Cells NFr Spt,1,Epithelial cells/Leukocytes,NFr,Pt,Sputum,Qn,,%,HEM/BC
Epithelial Cells,40,90044-9,https://loinc.org/90044-9,ACTIVE,Epithelial cells.renal [Presence] in Urine sediment,Renal Epi Cells UrnS Ql,1,Epithelial cells.renal,PrThr,Pt,Urine sed,Ord,,,UA
Epithelial Cells,41,58766-7,https://loinc.org/58766-7,ACTIVE,Epithelial cells [#/area] in Semen by Microscopy high power field,Epi Cells #/area Smn HPF,1,Epithelial cells,Naric,Pt,Semen,Qn,Microscopy.light.HPF,/HPF,FERT
Epithelial Cells,42,33342-7,https://loinc.org/33342-7,ACTIVE,Epithelial cells [#/area] in Urine sediment by Automated count,Epi Cells #/area UrnS Auto,1,Epithelial cells,Naric,Pt,Urine sed,Qn,Automated count,/HPF,UA
Epithelial Cells,43,5787-7,https://loinc.org/5787-7,ACTIVE,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,Epi Cells #/area UrnS HPF,1,Epithelial cells,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF,/HPF,UA
Epithelial Cells,44,46133-5,https://loinc.org/46133-5,ACTIVE,Epithelial cells [#/area] in Urine sediment by Microscopy low power field,Epi Cells #/area UrnS LPF,1,Epithelial cells,Naric,Pt,Urine sed,Qn,Microscopy.light.LPF,/lpf,UA
Epithelial Cells,45,87926-2,https://loinc.org/87926-2,ACTIVE,Epithelial cells [#/volume] in Urine by Automated,Epi Cells # Ur Auto,1,Epithelial cells,NCnc,Pt,Urine,Qn,Automated,/uL,UA
Epithelial Cells,46,24123-2,https://loinc.org/24123-2,ACTIVE,Epithelial cells [#/volume] in Urine by Manual count,Epi Cells # Ur Manual,1,Epithelial cells,NCnc,Pt,Urine,Qn,Manual count,/uL,UA
Epithelial Cells,47,99052-3,https://loinc.org/99052-3,ACTIVE,Epithelial cells [Presence] in Bronchoalveolar lavage by Light microscopy,Epi Cells BAL Ql Micro,1,Epithelial cells,PrThr,Pt,BAL,Ord,Microscopy.light,,HEM/BC
Epithelial Cells,48,14103-6,https://loinc.org/14103-6,ACTIVE,Epithelial cells [Presence] in Stool by Light microscopy,Epi Cells Stl Ql Micro,1,Epithelial cells,PrThr,Pt,Stool,Ord,Microscopy.light,,HEM/BC
Epithelial Cells,49,33221-3,https://loinc.org/33221-3,ACTIVE,Epithelial cells.renal [#/area] in Urine by Computer assisted method,Renal Epi Cells #/area Ur Comp Assist,1,Epithelial cells.renal,Naric,Pt,Urine,Qn,Computer assisted,/HPF,UA
Epithelial Cells,50,13653-1,https://loinc.org/13653-1,ACTIVE,Epithelial cells.renal [#/volume] in Urine sediment,Renal Epi Cells # UrnS,1,Epithelial cells.renal,NCnc,Pt,Urine sed,Qn,,/mL,UA
pH,1,106930-1,https://loinc.org/106930-1,ACTIVE,pH of Urine by pH-metry,pH Ur pH-metry,1,pH,LsCnc,Pt,Urine,SemiQn,pH-metry,[pH],CHEM
pH,2,9481-3,https://loinc.org/9481-3,ACTIVE,pH of Water,pH Wat,1,pH,LsCnc,Pt,Water,SemiQn,,pH,CHEM
pH,3,97536-7,https://loinc.org/97536-7,ACTIVE,pH of Central venous blood,pH BldCV,1,pH,LsCnc,Pt,BldCV,SemiQn,,pH,CHEM
pH,4,55976-5,https://loinc.org/55976-5,ACTIVE,pH of Nonbiological fluid,pH Fld.NB,1,pH,LsCnc,Pt,Flu.nonbiological,SemiQn,,pH,CHEM
pH,5,56963-2,https://loinc.org/56963-2,ACTIVE,pH of Saliva (oral fluid),pH Sal,1,pH,LsCnc,Pt,Saliva,SemiQn,,pH,CHEM
pH,6,53653-2,https://loinc.org/53653-2,ACTIVE,pH of Bile fluid,pH Bifl,1,pH,LsCnc,Pt,Bil fld,SemiQn,,pH,CHEM
pH,7,55968-2,https://loinc.org/55968-2,ACTIVE,pH of Total parental nutrition,pH TPN,1,pH,LsCnc,Pt,TPN,SemiQn,,pH,CHEM
pH,8,2756-5,https://loinc.org/2756-5,ACTIVE,pH of Urine,pH Ur,1,pH,LsCnc,Pt,Urine,SemiQn,,pH,CHEM
pH,9,53600-3,https://loinc.org/53600-3,ACTIVE,pH of Blood product unit,pH BPU,1,pH,LsCnc,Pt,^BPU,SemiQn,,pH,CHEM
pH,10,28646-8,https://loinc.org/28646-8,ACTIVE,pH of Arterial cord blood,pH BldCoA,1,pH,LsCnc,Pt,BldCoA,SemiQn,,pH,CHEM
pH,11,28647-6,https://loinc.org/28647-6,ACTIVE,pH of Venous cord blood,pH BldCoV,1,pH,LsCnc,Pt,BldCoV,SemiQn,,pH,CHEM
pH,12,53654-0,https://loinc.org/53654-0,ACTIVE,pH of Dialysis fluid,pH Dial fld,1,pH,LsCnc,Pt,Dial fld,SemiQn,,pH,CHEM
pH,13,2749-0,https://loinc.org/2749-0,ACTIVE,pH of Gastric fluid,pH Gast,1,pH,LsCnc,Pt,Gast fld,SemiQn,,pH,CHEM
pH,14,42728-6,https://loinc.org/42728-6,ACTIVE,pH of Ocular fluid,pH Ocflu,1,pH,LsCnc,Pt,Ocular fld,SemiQn,,pH,CHEM
pH,15,2750-8,https://loinc.org/2750-8,ACTIVE,pH of Pleural fluid,pH Plr,1,pH,LsCnc,Pt,Plr fld,SemiQn,,pH,CHEM
pH,16,33913-5,https://loinc.org/33913-5,ACTIVE,pH of Capillary blood from Fetus,pH BldC Fetus,1,pH,LsCnc,Pt,BldC^Fetus,SemiQn,,pH,CHEM
pH,17,27378-9,https://loinc.org/27378-9,ACTIVE,pH of 24 hour Urine,pH 24h Ur,1,pH,LsCnc,24H,Urine,SemiQn,,pH,CHEM
pH,18,11558-4,https://loinc.org/11558-4,ACTIVE,pH of Blood,pH Bld,1,pH,LsCnc,Pt,Bld,SemiQn,,pH,CHEM
pH,19,14873-4,https://loinc.org/14873-4,ACTIVE,pH of Cord blood,pH BldCo,1,pH,LsCnc,Pt,BldCo,SemiQn,,pH,CHEM
pH,20,10582-5,https://loinc.org/10582-5,ACTIVE,pH of Cervical mucus,pH Cerv mucus,1,pH,LsCnc,Pt,Cvm,SemiQn,,pH,FERT
pH,21,33417-7,https://loinc.org/33417-7,ACTIVE,pH of Pericardial fluid,pH Pcar,1,pH,LsCnc,Pt,Pericard fld,SemiQn,,pH,CHEM
pH,22,2751-6,https://loinc.org/2751-6,ACTIVE,pH of Peritoneal fluid,pH Prt,1,pH,LsCnc,Pt,Periton fld,SemiQn,,pH,CHEM
pH,23,2752-4,https://loinc.org/2752-4,ACTIVE,pH of Semen,pH Smn,1,pH,LsCnc,Pt,Semen,SemiQn,,pH,CHEM
pH,24,2755-7,https://loinc.org/2755-7,ACTIVE,pH of Stool,pH Stl,1,pH,LsCnc,Pt,Stool,SemiQn,,pH,CHEM
pH,25,42670-0,https://loinc.org/42670-0,ACTIVE,pH of Vitreous fluid,pH Vitf,1,pH,LsCnc,Pt,Vitr fld,SemiQn,,pH,CHEM
pH,26,53652-4,https://loinc.org/53652-4,ACTIVE,pH of 4 hour Urine,pH 4h Ur,1,pH,LsCnc,4H,Urine,SemiQn,,pH,CHEM
pH,27,2743-3,https://loinc.org/2743-3,ACTIVE,pH of Amniotic fluid,pH Amn,1,pH,LsCnc,Pt,Amnio fld,SemiQn,,pH,CHEM
pH,28,80830-3,https://loinc.org/80830-3,ACTIVE,pH of Lower respiratory specimen,pH Lower resp,1,pH,LsCnc,Pt,Respiratory system specimen.lower,SemiQn,,pH,CHEM
pH,29,2753-2,https://loinc.org/2753-2,ACTIVE,pH of Serum or Plasma,pH SerPl,1,pH,LsCnc,Pt,Ser/Plas,SemiQn,,pH,CHEM
pH,30,48037-6,https://loinc.org/48037-6,ACTIVE,pH of Vaginal fluid,pH Vag,1,pH,LsCnc,Pt,Vag,SemiQn,,pH,FERT
pH,31,17433-4,https://loinc.org/17433-4,ACTIVE,pH of Specimen,pH Spec,1,pH,LsCnc,Pt,XXX,SemiQn,,pH,CHEM
pH,32,9347-6,https://loinc.org/9347-6,ACTIVE,pH combined acid of Gastric fluid,pH Combined Ac Gast,1,pH.combined acid,LsCnc,Pt,Gast fld,SemiQn,,pH,CHEM
pH,33,9349-2,https://loinc.org/9349-2,ACTIVE,pH total acid of Gastric fluid,pH Total Ac Gast,1,pH.total acid,LsCnc,Pt,Gast fld,SemiQn,,pH,CHEM
pH,34,53651-6,https://loinc.org/53651-6,ACTIVE,pH of 2 hour Urine,pH 2h Ur,1,pH,LsCnc,2H,Urine,SemiQn,,pH,CHEM
pH,35,19213-8,https://loinc.org/19213-8,ACTIVE,pH of Mixed venous blood,pH BldMV,1,pH,LsCnc,Pt,BldMV,SemiQn,,pH,CHEM
pH,36,2747-4,https://loinc.org/2747-4,ACTIVE,pH of Cerebral spinal fluid,pH CSF,1,pH,LsCnc,Pt,CSF,SemiQn,,pH,CHEM
pH,38,9348-4,https://loinc.org/9348-4,ACTIVE,pH free acid of Gastric fluid,pH Free Ac Gast,1,pH.free acid,LsCnc,Pt,Gast fld,SemiQn,,pH,CHEM
pH,39,58400-3,https://loinc.org/58400-3,ACTIVE,Specimen pH acceptable of Urine,Specimen pH acceptable Ur,1,Specimen pH acceptable,Arb,Pt,Urine,Ord,,,SPEC
pH,40,2744-1,https://loinc.org/2744-1,ACTIVE,pH of Arterial blood,pH BldA,1,pH,LsCnc,Pt,BldA,SemiQn,,pH,CHEM
pH,41,2746-6,https://loinc.org/2746-6,ACTIVE,pH of Venous blood,pH BldV,1,pH,LsCnc,Pt,BldV,SemiQn,,pH,CHEM
pH,42,2748-2,https://loinc.org/2748-2,ACTIVE,pH of Body fluid,pH Fld,1,pH,LsCnc,Pt,Body fld,SemiQn,,pH,CHEM
pH,43,50895-2,https://loinc.org/50895-2,ACTIVE,pH of Pleural fluid by Test strip,pH Plr Strip,1,pH,LsCnc,Pt,Plr fld,SemiQn,Test strip,pH,CHEM
pH,44,2754-0,https://loinc.org/2754-0,ACTIVE,pH of Synovial fluid,pH Snv,1,pH,LsCnc,Pt,Synv fld,SemiQn,,pH,CHEM
pH,45,5803-2,https://loinc.org/5803-2,ACTIVE,pH of Urine by Test strip,pH Ur Strip,1,pH,LsCnc,Pt,Urine,SemiQn,Test strip,pH,UA
pH,46,50897-8,https://loinc.org/50897-8,ACTIVE,pH of 24 hour Urine by Test strip,pH 24h Ur Strip,1,pH,LsCnc,24H,Urine,SemiQn,Test strip,pH,CHEM
pH,47,2745-8,https://loinc.org/2745-8,ACTIVE,pH of Capillary blood,pH BldC,1,pH,LsCnc,Pt,BldC,SemiQn,,pH,CHEM
pH,48,68382-1,https://loinc.org/68382-1,ACTIVE,pH of Pericardial fluid by Test strip,pH Pcar Strip,1,pH,LsCnc,Pt,Pericard fld,SemiQn,Test strip,ph,CHEM
pH,49,68459-7,https://loinc.org/68459-7,ACTIVE,pH of Peritoneal fluid by Test strip,pH Prt Strip,1,pH,LsCnc,Pt,Periton fld,SemiQn,Test strip,pH,CHEM
pH,50,96717-4,https://loinc.org/96717-4,ACTIVE,pH of Prostatic fluid,pH Prost fld,1,pH,LsCnc,Pt,Prostatic fld,SemiQn,,pH,CHEM
Serum PSA,1,53764-7,https://loinc.org/53764-7,ACTIVE,Prostate specific Ag panel - Serum or Plasma,PSA Pnl SerPl,1,Prostate specific Ag panel,-,Pt,Ser/Plas,-,,,PANEL.CHEM
Serum PSA,3,72576-2,https://loinc.org/72576-2,ACTIVE,Prostate Specific Ag Free/Prostate specific Ag.total [Pure mass fraction] in Serum or Plasma,PSA Free MFr.DF SerPl,1,Prostate specific Ag.free/Prostate specific Ag.total,MFr.DF,Pt,Ser/Plas,Qn,,,CHEM
Serum PSA,4,12841-3,https://loinc.org/12841-3,ACTIVE,Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma,PSA Free MFr SerPl,1,Prostate specific Ag.free/Prostate specific Ag.total,MFr,Pt,Ser/Plas,Qn,,%,CHEM
Serum PSA,5,19201-3,https://loinc.org/19201-3,ACTIVE,Prostate Specific Ag Free [Units/volume] in Serum or Plasma,PSA Free SerPl-aCnc,1,Prostate specific Ag.free,ACnc,Pt,Ser/Plas,Qn,,IU/L,CHEM
Serum PSA,6,10886-0,https://loinc.org/10886-0,ACTIVE,Prostate Specific Ag Free [Mass/volume] in Serum or Plasma,PSA Free SerPl-mCnc,1,Prostate specific Ag.free,MCnc,Pt,Ser/Plas,Qn,,ug/L;ng/mL,CHEM
Serum PSA,7,19203-9,https://loinc.org/19203-9,ACTIVE,Prostate Specific Ag Free [Moles/volume] in Serum or Plasma,PSA Free SerPl-sCnc,1,Prostate specific Ag.free,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum PSA,8,33667-7,https://loinc.org/33667-7,ACTIVE,Prostate specific Ag.protein bound [Mass/volume] in Serum or Plasma,Complexed PSA SerPl-mCnc,1,Prostate specific Ag.protein bound,MCnc,Pt,Ser/Plas,Qn,,ng/mL; ug/L,CHEM
Serum PSA,9,83113-1,https://loinc.org/83113-1,ACTIVE,Prostate Specific Ag Free [Mass/volume] in Serum or Plasma by Immunoassay,PSA Free SerPl IA-mCnc,1,Prostate specific Ag.free,MCnc,Pt,Ser/Plas,Qn,IA,ng/mL,CHEM
Serum PSA,13,19195-7,https://loinc.org/19195-7,ACTIVE,Prostate specific Ag [Units/volume] in Serum or Plasma,PSA SerPl-aCnc,1,Prostate specific Ag,ACnc,Pt,Ser/Plas,Qn,,IU/L,CHEM
Serum PSA,14,19197-3,https://loinc.org/19197-3,ACTIVE,Prostate specific Ag [Moles/volume] in Serum or Plasma,PSA SerPl-sCnc,1,Prostate specific Ag,SCnc,Pt,Ser/Plas,Qn,,umol/L,CHEM
Serum PSA,15,2857-1,https://loinc.org/2857-1,ACTIVE,Prostate specific Ag [Mass/volume] in Serum or Plasma,PSA SerPl-mCnc,1,Prostate specific Ag,MCnc,Pt,Ser/Plas,Qn,,ug/L;ng/mL,CHEM
Serum PSA,16,83112-3,https://loinc.org/83112-3,ACTIVE,Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay,PSA SerPl IA-mCnc,1,Prostate specific Ag,MCnc,Pt,Ser/Plas,Qn,IA,ng/mL,CHEM
Serum PSA,17,97149-9,https://loinc.org/97149-9,ACTIVE,proPSA isoform 2 [Mass/volume] in Serum or Plasma by Immunoassay,proPSA isoform 2 SerPl IA-mCnc,1,Pro prostate specific Ag isoform 2,MCnc,Pt,Ser/Plas,Qn,IA,pg/mL,CHEM
Serum PSA,18,35741-8,https://loinc.org/35741-8,ACTIVE,Prostate specific Ag [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,PSA SerPl DL<=0.01 ng/mL-mCnc,1,Prostate specific Ag,MCnc,Pt,Ser/Plas,Qn,Detection limit <= 0.01 ng/mL,ug/L,CHEM
Serum PSA,19,19759-0,https://loinc.org/19759-0,ACTIVE,Swine serum albumin IgE Ab [Units/volume] in Serum,Swine Serum Alb IgE Qn,1,Swine serum albumin Ab.IgE,ACnc,Pt,Ser,Qn,,kIU/L,ALLERGY
Serum PSA,20,102888-5,https://loinc.org/102888-5,ACTIVE,Swine serum albumin IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST),Swine Serum Alb IgE RAST,1,Swine serum albumin Ab.IgE,PrThr,Pt,Ser,SemiQn,RAST,,ALLERGY
PT INR,1,72281-9,https://loinc.org/72281-9,ACTIVE,Days in therapeutic INR range/Days INR result determined [Ratio],Ds INR range/Ds INR det Patient-Rto,1,Days in therapeutic INR range/Days INR result determined,Ratio,Pt,^Patient,Qn,,%,H&P.HX.LAB
PT INR,2,34714-6,https://loinc.org/34714-6,ACTIVE,INR in Blood by Coagulation assay,INR Bld,1,Coagulation tissue factor induced.INR,RelTime,Pt,Bld,Qn,Coag,INR,COAG
PT INR,3,6301-6,https://loinc.org/6301-6,ACTIVE,INR in Platelet poor plasma by Coagulation assay,INR PPP,1,Coagulation tissue factor induced.INR,RelTime,Pt,PPP,Qn,Coag,INR,COAG
PT INR,4,46418-0,https://loinc.org/46418-0,ACTIVE,INR in Capillary blood by Coagulation assay,INR BldC,1,Coagulation tissue factor induced.INR,RelTime,Pt,BldC,Qn,Coag,,COAG
PT INR,6,92891-1,https://loinc.org/92891-1,ACTIVE,INR goal in Platelet poor plasma by Coagulation assay,INR goal PPP,1,Coagulation tissue factor induced.INR goal,RelTime,Pt,PPP,Qn,Coag,INR,COAG
PT INR,7,38875-1,https://loinc.org/38875-1,ACTIVE,INR in Platelet poor plasma or blood by Coagulation assay,INR PPP/Bld,1,Coagulation tissue factor induced.INR,RelTime,Pt,PPP/Bld,Qn,Coag,,COAG
PT INR,8,61189-7,https://loinc.org/61189-7,ACTIVE,INR in Platelet poor plasma from Fetus by Coagulation assay,INR PPP Fetus,1,Coagulation tissue factor induced.INR,RelTime,Pt,PPP^Fetus,Qn,Coag,,COAG
PT INR,9,52129-4,https://loinc.org/52129-4,ACTIVE,INR in Platelet poor plasma by Coagulation assay --post heparin neutralization,INR p hep neut PPP,1,Coagulation tissue factor induced.INR^post heparin neutralization,RelTime,Pt,PPP,Qn,Coag,,COAG
LDL Cholesterol,1,14155-6,https://loinc.org/14155-6,ACTIVE,Cholesterol in LDL [Percentile],LDLc Prctl SerPl,1,Cholesterol.in LDL,Prctl,Pt,Ser/Plas,SemiQn,,,CHEM
LDL Cholesterol,2,100732-7,https://loinc.org/100732-7,ACTIVE,Cholesterol.in lipoprotein (little a) and Cholesterol.in LDL panel - Serum,LPALD Ser,1,Cholesterol.in lipoprotein (little a) & Cholesterol.in LDL panel,-,Pt,Ser,-,,,PANEL.CHEM
LDL Cholesterol,5,13459-3,https://loinc.org/13459-3,ACTIVE,Cholesterol in LDL/Cholesterol.total [Mass Ratio] in Serum or Plasma,LDLc SerPl,1,Cholesterol.in LDL/Cholesterol.total,MRto,Pt,Ser/Plas,Qn,,,CHEM
LDL Cholesterol,6,55440-2,https://loinc.org/55440-2,ACTIVE,Cholesterol.in LDL (real) [Mass/volume] in Serum or Plasma by VAP,LDLc-R SerPl VAP-mCnc,1,Cholesterol.in LDL,MCnc,Pt,Ser/Plas,Qn,VAP,mg/dL,CHEM
LDL Cholesterol,9,16615-7,https://loinc.org/16615-7,ACTIVE,Cholesterol.total/Cholesterol in LDL [Mass Ratio] in Serum or Plasma,Cholest/LDLc SerPl,1,Cholesterol.total/Cholesterol.in LDL,MRto,Pt,Ser/Plas,Qn,,,CHEM
